# corpus-wide term-usage Pareto over all 32 class corpora (14M text)
# generated by scripts/term-pareto.sh products/*/*/

RANK  COUNT    CUM%    TERM
649   65       92.7    dimensions
650   65       92.7    condition codes
651   65       92.7    cardinality estimation
652   64       92.7    symbolic execution
653   64       92.8    proof obligation
654   64       92.8    prologue
655   64       92.8    memory leak
656   64       92.8    linear search
657   63       92.8    strict 2pl
658   63       92.8    singleton
659   63       92.8    memory management unit
660   63       92.9    calling convention
661   63       92.9    asymptotic analysis
662   63       92.9    ambiguity
663   63       92.9    admissibility of cut
664   62       92.9    velocity
665   62       92.9    symbol table
666   62       93.0    list scheduling
667   62       93.0    interference graph
668   62       93.0    instrumentation
669   62       93.0    fixed point
670   62       93.0    asynchronous communication
671   61       93.0    probability mass function
672   61       93.1    primary key
673   61       93.1    instance method
674   61       93.1    infinity
675   61       93.1    available expressions
676   60       93.1    subtyping
677   60       93.1    std::cout
678   60       93.2    race condition
679   60       93.2    normalization
680   60       93.2    getaddrinfo
681   60       93.2    duality
682   60       93.2    computation tree logic
683   60       93.2    classical linear logic
684   59       93.2    runtime error
685   59       93.3    override
686   59       93.3    mmu
687   59       93.3    heuristics
688   59       93.3    critical section
689   59       93.3    container
690   59       93.3    accumulator
691   58       93.4    witness
692   58       93.4    linker
693   58       93.4    global variable
694   58       93.4    file system
695   58       93.4    arrayintlist
696   57       93.4    software pipelining
697   57       93.4    one-to-one
698   57       93.5    foreign key
699   57       93.5    concrete syntax
700   57       93.5    abstract type
701   56       93.5    side effect
702   56       93.5    recursive type
703   56       93.5    quote
704   56       93.5    principle of induction
705   56       93.6    linkedintlist
706   56       93.6    flow function
707   56       93.6    exec
708   56       93.6    directory
709   56       93.6    copy propagation
710   56       93.6    comparison function
711   56       93.6    atomic proposition
712   55       93.7    dominance frontier
713   55       93.7    cost semantics
714   55       93.7    call-by-push-value
715   55       93.7    assignment rule
716   54       93.7    type safety
717   54       93.7    trie
718   54       93.7    right rules
719   54       93.8    optimal precision
720   54       93.8    milestone
721   54       93.8    functional language
722   54       93.8    dns
723   54       93.8    contrapositive
724   54       93.8    call-by-name
725   53       93.8    λ-term
726   53       93.9    sketch
727   53       93.9    monotonicity
728   53       93.9    java virtual machine
729   53       93.9    direct proof
730   53       93.9    concurrent algol
731   52       93.9    method call
732   52       93.9    destructor
733   52       93.9    cumulative distribution function
734   52       94.0    converse
735   51       94.0    scheduler
736   51       94.0    producer
737   51       94.0    numeral
738   51       94.0    boolean expression
739   51       94.0    abstract machine
740   50       94.0    vtable
741   50       94.1    use case
742   50       94.1    tags
743   50       94.1    partial correctness
744   50       94.1    modus ponens
745   50       94.1    comparable
746   49       94.1    type inference
747   49       94.1    substitution lemma
748   49       94.1    rotation
749   49       94.2    non-executable stack
750   49       94.2    inconsistent
751   49       94.2    ide
752   49       94.2    hypothetical judgment
753   49       94.2    complexity class
754   48       94.2    strongest postcondition
755   48       94.2    spanning tree
756   48       94.2    sampling
757   48       94.3    pointer arithmetic
758   48       94.3    padding
759   48       94.3    extreme programming
760   48       94.3    agile
761   47       94.3    serializable schedule
762   47       94.3    readonly
763   47       94.3    program counter
764   47       94.3    placement
765   47       94.4    meet operator
766   47       94.4    live variables
767   47       94.4    central limit theorem
768   46       94.4    unordered
769   46       94.4    superclass
770   46       94.4    substructural operational semantics
771   46       94.4    reachability
